BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,,,,,,,,,,
BR,,,,RQ,RQ,RQ,RQ,(RQ:,FILL ONLY FOR REROUTED CUSTOMERS),-- DO NOT REMOVE THIS ROW --,,,,,,,,,,,,,,,
650,02,03B,02,,,,,176500030,IHOP COLUMBIA,CENTRE PARK DRIVE,COLUMBIA,21045-2134,11/24/2017,$171.59,$85.79,,,,,,,,,,
650,02,03B,03,,,,,216500014,DOK KHAO THAI EATERY,MERRIWEATHER DRIVE,COLUMBIA,21044-3744,04/16/2021,$854.48,$71.70,,,,,,,,,,
650,02,03B,04,,,,,236500002,PETER CHANG,MERRIWEATHER DRIVE,COLUMBIA,21044-3744,01/02/2023,$618.20,$0.00,,,,,,,,,,
650,02,03B,05,,,,,236500014,CLOVE & CARDAMOM,"MERRIWEATHER DRIVE, B115",COLUMBIA,21044,05/08/2023,$204.73,$0.00,,,,,,,,,,
650,02,03B,06,,,,,166500223,BLACK FLAG BREWING COMPANY,SNOWDEN RIVER PARKWAY,COLUMBIA,21046,07/19/2016,$240.68,$10.68,,,,,,,,,,
650,02,03B,07,,,,,226500015,LOST ARK DISTILLING,BERGER ROAD,COLUMBIA,21046,07/11/2022,$259.00,$0.00,,,,,,,,,,
650,02,03B,08,,,,,166500220,THE HIDEOUT,WASHINGTON BOULEVARD NORTH,LAUREL,20707,07/08/2016,$538.85,$74.85,,,,,,,,,,
650,02,04B,01,,,,,65077242,HUNAN L' ROSE RESTAURANT,ANNAPOLIS ROAD,ODENTON,21113,04/24/2006,$376.43,$0.00,,,,,,,,,,
650,02,04B,02,,,,,166500224,THREE BROTHERS ITALIAN RESTAURANT ODENTON,ANNAPOLIS ROAD,ODENTON,21113,07/20/2016,$334.30,$10.42,,,,,,,,,,
650,02,04B,03,,,,,236500027,THE ALL AMERICAN STEAKHOUSE - ODENTON,ANNAPOLIS ROAD,ODENTON,21113-1001,09/28/2023,$1155.32,$191.32,,,,,,,,,,
650,02,04B,04,,,,,236500016,PHO 5UP - ODENTON,"BLUE WATER BLVD , #260",ODENTON,21113,05/04/2023,$246.00,$0.00,,,,,,,,,,
650,02,04B,05,,,,,6502791,FORTUNE COOKY RESTAURANT,CRAIN HIGHWAY SOUTH,GLEN BURNIE ,21061,01/26/2006,$226.76,$0.00,,,,,,,,,,
650,02,04B,06,,,,,650780,FRIENDLY'S CRAIN HIGHWAY,CRAIN HIGHWAY SOUTH,GLEN BURNIE,21061-3645,04/19/2011,$81.58,$27.12,,,,,,,,,,
650,02,04B,07,,,,,650924,EAST MOON ASIAN BISTRO & SUSHI,RITCHIE HIGHWAY,GLEN BURNIE ,21061,08/08/2012,$210.00,$0.00,,,,,,,,,,
650,02,04B,08,,,,,176500028,MALI THAI RESTAURANT,BALTIMORE ANNAPOLIS BOULEVARD,GLEN BURNIE ,21061,09/08/2017,$210.00,$0.00,,,,,,,,,,
650,02,05B,01,,,,,650691,FRIENDLY'S PASADENA,MOUNTAIN ROAD,PASADENA,21122,08/24/2010,$102.23,$37.45,,,,,,,,,,
650,02,05B,02,,,,,236500026,PHO DENA ,MOUNTAIN ROAD,PASADENA,21122-4455,09/21/2023,$164.00,$0.00,,,,,,,,,,
650,02,05B,03,,,,,650782,FRIENDLY'S RITCHIE HIGHWAY,RITCHIE HIGHWAY,GLEN BURNIE ,21061-2904,04/19/2011,$132.12,$65.07,,,,,,,,,,
650,02,05B,04,,,,,146500170,SAKE JAPANESE RESTAURANT & SUSHI BAR,GOVERNOR RITCHIE HIGHWAY,GLEN BURNIE ,21061-3104,09/18/2014,$496.54,$0.00,,,,,,,,,,
650,02,05B,05,,,,,650649,MI PUEBLO,RITCHIE HIGHWAY,GLEN BURNIE ,21061-3717,05/05/2010,$450.59,$0.00,,,,,,,,,,
650,02,05B,06,,,,,226500010,MI PUEBLITO,RITCHIE HWY,GLEN BURNIE ,21061,06/09/2022,$603.50,$0.00,,,,,,,,,,
650,02,05B,07,,,,,186500005,VILLA FLORES RESTAURANT,BALTIMORE ANNAPOLIS BOULEVARD,GLEN BURNIE ,21060-7554,02/22/2018,$299.92,$0.00,,,,,,,,,,
650,02,06B,01,,,,,650496,CITY VIEW RESTAURANT,SECURITY BOULEVARD,WOODLAWN,21207-4038,07/21/2008,$486.20,$42.20,,,,,,,,,,
650,02,06B,02,,,,,236500029,EDEN SPORTS BAR & GRILL,BLOOMFIELD AVENUE,BALTIMORE,21227-1076,12/15/2023,$73.00,$0.00,,,,,,,,,,
650,02,06B,03,,,,,650928,LAS VEGAS OF WOODLAWN,SECURITY BOULEVARD,WOODLAWN,21244-2562,09/11/2012,$240.00,$0.00,,,,,,,,,,
650,02,06B,04,,,,,226500012,THE CRAZY MASON MILKSHAKE BAR,MAIN STREET,ELLICOTT CITY,21043,06/29/2022,$314.93,$17.93,,,,,,,,,,
650,02,06B,05,,,,,186500038,UMI SUSHI,MAIN STREET,ELLICOTT CITY,21043,12/28/2018,$380.00,$0.00,,,,,,,,,,
650,02,06B,06,,,,,650500,RANAZUL,FREETOWN ROAD SUITE 120,COLUMBIA,21044-4062,09/02/2008,$265.58,$89.92,,,,,,,,,,
650,02,07B,01,,,,,650422,STONE MILL GOURMET TO GO,FALLS ROAD,LUTHERVILLE ,21093-3619,05/25/2007,$327.25,$0.00,,,,,,,,,,
