BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,Latitude,Longitude,Machine,Companion,NEW DIST
650,1,10,7,,1,10,7,246500002,ATTMAN'S BALTIMORE,1401,POINT STREET,BALTIMORE,21231,1/8/2024,458.0333333333333,94.7,39.28032546464647,-76.59759664,458.0333333333333,94.7,153
650,1,10,1,,1,10,1,216500032,LITTLE DONNA'S ,1812,BANK STREET,BALTIMORE,21231-2506,9/8/2021,323.67333333333335,0,39.28689985,-76.59086451,323.67333333333335,0,4
650,1,9,5,,1,9,5,186500024,CHARMED KITCHEN,123,SOUTH CHESTER STREET,BALTIMORE,21231-2010,9/4/2018,249,0,39.28970355,-76.58714658,249,0,9
650,1,9,6,,1,9,6,206500015,FRESH EXPRESS,525,NORTH WOLFE STREET,BALTIMORE,21205-2110,12/14/2020,269,0,39.29673916326531,-76.59066073,269,0,9
650,1,13,1,,1,13,1,196500023,ROD DEE THAI,340,NORTH CHARLES STREET,BALTIMORE,21201,8/19/2019,160,0,39.29374397058824,-76.61557406,160,0,1
650,1,13,2,,1,13,2,65093622,SOTTO SOPRA,405,NORTH CHARLES STREET,BALTIMORE,21201-0000,7/12/1999,376.87666666666667,0,39.29426728571429,-76.61538898,376.87666666666667,0,6
650,1,13,3,,1,13,3,146500121,IGGIES RESTAURANT,818,NORTH CALVERT STREET,BALTIMORE,21202,8/13/2014,0,0,39.298976591836734,-76.61310622,0,0,4
650,1,13,4,,1,13,4,176500020,CAFE FILI,816,CATHEDRAL STREET,BALTIMORE,21201,6/5/2017,248.4033333333333,0,39.29877297959184,-76.61727961,248.4033333333333,0,3
650,1,13,5,,1,13,5,216500030,CENTRAL BAR ,885,NORTH HOWARD STREET,BALTIMORE,21201,8/27/2021,0,0,39.3005658,-76.61984411,0,0,8
650,1,15,3,,1,15,3,196500012,THE TILTED ROW,305,MC MECHEN STREET,BALTIMORE,21217,4/9/2019,547.87,0,39.3063278,-76.6285671,547.87,0,155
650,1,15,1,,1,15,1,6505398,ON THE HILL CAFE,1431,JOHN STREET,BALTIMORE,21217,6/21/2005,170.56666666666666,0,39.3084351,-76.6237386,170.56666666666666,0,5
650,1,13,7,,1,13,7,186500030,LE COMPTOIR DU VIN,1729,MARYLAND AVENUE,BALTIMORE,21201,10/25/2018,258.43333333333334,30.583333333333332,39.3094941,-76.6175814,258.43333333333334,30.583333333333332,37
650,1,14,8,,1,14,8,216500029,CHURCH BAR,2219,MARYLAND AVE,BALTIMORE,21218,8/10/2021,0,0,39.31489035,-76.61780823,0,0,9
650,1,14,1,,1,14,1,216500015,REMI'S ,300,W. 30TH STREET,BALTIMORE,21211,4/16/2021,0,0,39.3231862,-76.62315497,0,0,13
650,1,15,2,,1,15,2,226500021,BALTIMORE UNITY HALL,1505,EUTAW PLACE,BALTIMORE,21217,8/11/2022,0,0,39.3058539,-76.6279523,0,0,1
650,1,12,5,,1,12,5,236500015,VIDA TACO BAR,333,WEST CAMDEN STREET,BALTIMORE,21201,4/24/2023,88,0,39.285186333333336,-76.62013567,88,0,2
650,1,1,7,,1,1,7,196500014,ROOTS NATURAL KITCHEN,120,EAST MAIN STREET,NEWARK,19711,5/16/2019,503.89666666666665,0,39.68352895635361,-75.74798403,503.89666666666665,0,14
650,1,1,8,,1,1,8,65040669,NEWARK COUNTRY CLUB,300,WEST MAIN STREET,NEWARK,19711-3218,4/12/2006,175.26333333333332,0,39.68577046389783,-75.76333254,175.26333333333332,0,319
650,1,2,1,,1,2,1,650419,LA CUCINA RESTAURANT,103,NORTH WASHINGTON STREET,HAVRE DE GRACE,21078,5/16/2007,386.66333333333336,0,39.54785966321027,-76.089645,386.66333333333336,0,82
650,1,1,4,,1,1,4,226500025,FIESTA MAYA MEXICAN GRILL,200,PENCADER PLAZA,NEWARK,19711,9/21/2022,261.27,0,39.659172,-75.736935,261.27,0,29
650,2,6,4,,2,6,4,196500021,VINCES CRAB HOUSE,2108,FALLSTON ROAD,FALLSTON,21047-1442,8/23/2019,293.58666666666664,0,39.53285549593496,-76.44794715,293.58666666666664,0,184
650,2,6,3,,2,6,3,156500333,TACOS TOLTECA,2823,BELAIR ROAD,FALLSTON,21047,8/21/2015,416.6866666666666,93.41666666666667,39.48477335790216,-76.40085209,416.6866666666666,93.41666666666667,68
650,1,4,4,,1,4,4,226500014,RAVAGE DELI,9636,BELAIR ROAD,NOTTINGHAM,21236,7/11/2022,240,0,39.412228612244895,-76.46468682,240,0,4
650,1,4,2,,1,4,2,65023694,CHOPSTIX CAFE,5002,HONEYGO CENTER DRIVE,PERRY HALL ,21128,9/21/2004,245,0,39.4050555,-76.4434178,245,0,20
650,1,4,6,,1,4,6,196500015,EL SALTO - PERRY HALL,4335,EBENEZER ROAD,PERRY HALL ,21236-2143,5/16/2019,562.9,37.766666666666666,39.39763122857144,-76.47651831,562.9,37.766666666666666,1
650,1,6,3,,1,6,3,166500243,EDORRITO ASIAN BISTRO,5203,CAMPBELL BOULEVARD,NOTTINGHAM,21236,10/25/2016,246,0,39.36984250507985,-76.45448497,246,0,5
650,1,6,4,,1,6,4,166500236,LEDO PIZZA OF WHITE MARSH,5350,CAMPBELL BOULEVARD,NOTTINGHAM,21236-4914,9/26/2016,545.5166666666667,295.51666666666665,39.3677221,-76.4496147,545.5166666666667,295.51666666666665,38
650,1,4,5,,1,4,5,650721,FRIENDLY'S PERRY HALL,9551,BELAIR ROAD,NOTTINGHAM,21236-1509,12/3/2010,179.72333333333333,88.22,39.41006334693878,-76.46689202,179.72333333333333,88.22,17
650,1,4,7,,1,4,7,650890,YAMA SUSHI PERRY HALL,4347,EBENEZER ROAD,NOTTINGHAM,21236-2143,5/4/2012,190,0,39.39758905714286,-76.47637483,190,0,171
650,1,4,3,,1,4,3,166500206,TASTE OF TAJ,9810,BELAIR ROAD,PERRY HALL ,21128,4/29/2016,179,0,39.4191206,-76.45756043,179,0,10
