BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,Latitude,Longitude,Machine,Companion,Stop ID,NEW DIST
650,2,4,1,,43.0,2,1,650432,EL SALVADOR RESTAURANT,207,SOUTH BROADWAY,BALTIMORE,21231-2406,2007-08-06 00:00:00,393.7033333333333,0.0,39.28899655,-76.59328361415342,393.7033333333333,0.0,56,46.0
650,2,4,2,,43.0,2,2,166500229,ANGIE'S SEAFOOD,1727,EAST PRATT STREET,BALTIMORE,21231-1819,2016-08-26 00:00:00,470.50666666666666,0.0,39.289230775510205,-76.59218397959184,470.50666666666666,0.0,57,1.0
650,3,10,5,,29.0,1,5,650938,GERMANO'S TRATTORIA,300,SOUTH HIGH STREET,BALTIMORE,21202-4333,2012-10-15 00:00:00,0.0,0.0,39.286175,-76.601852,0.0,0.0,58,3.0
650,2,6,7,,25.0,1,7,236500028,NOONA'S PIZZA,1203,WEST MOUNT ROYAL AVENUE,BALTIMORE,21217,2023-11-16 00:00:00,264.49666666666667,27.98333333333333,39.30713524489796,-76.62013279591837,264.49666666666667,27.98333333333333,59,4.0
650,2,15,3,,34.0,1,3,196500020,AMICCIS,231,SOUTH HIGH STREET,BALTIMORE,21202-4454,2019-08-15 00:00:00,715.0,0.0,39.286811615384615,-76.60201969230769,715.0,0.0,60,1.0
650,2,15,2,,34.0,1,2,65092620,LA TAVOLA,248,ALBEMARLE STREET,BALTIMORE,21202-4455,1997-04-08 00:00:00,440.15666666666664,90.76666666666667,39.28647964864865,-76.60263602702703,440.15666666666664,90.76666666666667,61,8.0
650,2,15,6,,34.0,1,6,216500001,ASAHI SUSHI,514 ,SOUTH BROADWAY,BALTIMORE,21231,2021-01-04 00:00:00,0.0,0.0,39.28503015,-76.59391200366802,0.0,0.0,62,4.0
650,2,9,6,,28.0,1,6,236500009,OVENBIRD BAKERY,300,3925 GOUGH STREET,BALTIMORE,21224,2023-03-01 00:00:00,518.2833333333333,164.0,39.289027,-76.557219,518.2833333333333,164.0,63,9.0
650,1,5,4,,24.0,1,4,246500002,ATTMAN'S BALTIMORE,1401,POINT STREET,BALTIMORE,21231,2024-01-08 00:00:00,458.0333333333333,94.7,39.28032546464647,-76.59759663636363,458.0333333333333,94.7,64,8.0
650,3,10,6,,29.0,1,6,216500032,LITTLE DONNA'S ,1812,BANK STREET,BALTIMORE,21231-2506,2021-09-08 00:00:00,323.67333333333335,0.0,39.28689985,-76.59086450627674,323.67333333333335,0.0,65,10.0
650,3,10,7,,29.0,1,7,186500024,CHARMED KITCHEN,123,SOUTH CHESTER STREET,BALTIMORE,21231-2010,2018-09-04 00:00:00,249.0,0.0,39.28970355,-76.5871465776702,249.0,0.0,66,5.0
650,2,4,3,,43.0,2,3,206500015,FRESH EXPRESS,525,NORTH WOLFE STREET,BALTIMORE,21205-2110,2020-12-14 00:00:00,269.0,0.0,39.29673916326531,-76.59066073469388,269.0,0.0,67,0.0
650,3,5,6,,44.0,1,6,196500023,ROD DEE THAI,340,NORTH CHARLES STREET,BALTIMORE,21201,2019-08-19 00:00:00,160.0,0.0,39.29374397058824,-76.61557405882353,160.0,0.0,68,7.0
650,3,5,7,,44.0,1,7,65093622,SOTTO SOPRA,405,NORTH CHARLES STREET,BALTIMORE,21201-0000,1999-07-12 00:00:00,376.87666666666667,0.0,39.29426728571429,-76.61538897959183,376.87666666666667,0.0,69,1.0
650,3,5,8,,44.0,1,8,146500121,IGGIES RESTAURANT,818,NORTH CALVERT STREET,BALTIMORE,21202,2014-08-13 00:00:00,0.0,0.0,39.298976591836734,-76.6131062244898,0.0,0.0,70,0.0
650,1,6,8,,45.0,1,8,176500020,CAFE FILI,816,CATHEDRAL STREET,BALTIMORE,21201,2017-06-05 00:00:00,248.4033333333333,0.0,39.29877297959184,-76.6172796122449,248.4033333333333,0.0,71,0.0
650,1,6,7,,45.0,1,7,216500030,CENTRAL BAR ,885,NORTH HOWARD STREET,BALTIMORE,21201,2021-08-27 00:00:00,0.0,0.0,39.3005658,-76.61984411084745,0.0,0.0,72,10.0
650,1,6,5,,45.0,1,5,196500012,THE TILTED ROW,305,MC MECHEN STREET,BALTIMORE,21217,2019-04-09 00:00:00,547.87,0.0,39.3063278,-76.6285671,547.87,0.0,73,12.0
650,2,6,6,,25.0,1,6,6505398,ON THE HILL CAFE,1431,JOHN STREET,BALTIMORE,21217,2005-06-21 00:00:00,170.56666666666666,0.0,39.3084351,-76.62373859842194,170.56666666666666,0.0,74,17.0
650,2,6,8,,25.0,1,8,186500030,LE COMPTOIR DU VIN,1729,MARYLAND AVENUE,BALTIMORE,21201,2018-10-25 00:00:00,258.43333333333334,30.583333333333332,39.3094941,-76.6175814,258.43333333333334,30.583333333333332,75,0.0
650,3,16,4,,35.0,1,4,216500029,CHURCH BAR,2219 ,MARYLAND AVE,BALTIMORE,21218,2021-08-10 00:00:00,0.0,0.0,39.31489035,-76.61780822625337,0.0,0.0,76,9.0
650,3,16,2,,35.0,1,2,216500015,REMI'S ,300,W. 30TH STREET,BALTIMORE,21211,2021-04-16 00:00:00,0.0,0.0,39.3231862,-76.62315497000586,0.0,0.0,77,11.0
650,1,6,6,,45.0,1,6,226500021,BALTIMORE UNITY HALL,1505,EUTAW PLACE,BALTIMORE,21217,2022-08-11 00:00:00,0.0,0.0,39.3058539,-76.6279523,0.0,0.0,78,1.0
650,3,5,3,,44.0,1,3,236500015,VIDA TACO BAR,333,WEST CAMDEN STREET,BALTIMORE,21201,2023-04-24 00:00:00,88.0,0.0,39.285186333333336,-76.62013566666667,88.0,0.0,79,16.0
650,1,19,5,,18.0,1,5,196500014,ROOTS NATURAL KITCHEN,120,EAST MAIN STREET,NEWARK,19711,2019-05-16 00:00:00,503.89666666666665,0.0,39.68352895635361,-75.74798402660313,503.89666666666665,0.0,80,2.0
650,1,19,1,,18.0,2,1,65040669,NEWARK COUNTRY CLUB,300,WEST MAIN STREET,NEWARK,19711-3218,2006-04-12 00:00:00,175.26333333333332,0.0,39.68577046389783,-75.76333254213104,175.26333333333332,0.0,81,0.0
650,1,16,3,,15.0,1,3,650419,LA CUCINA RESTAURANT,103,NORTH WASHINGTON STREET,HAVRE DE GRACE,21078,2007-05-16 00:00:00,386.66333333333336,0.0,39.54785966321027,-76.089645,386.66333333333336,0.0,82,327.0
650,1,16,2,,15.0,1,2,226500025,FIESTA MAYA MEXICAN GRILL,200,PENCADER PLAZA,NEWARK,19711,2022-09-21 00:00:00,261.27,0.0,39.659172,-75.736935,261.27,0.0,83,73.0
650,3,12,1,,11.0,1,1,196500021,VINCES CRAB HOUSE,2108,FALLSTON ROAD,FALLSTON,21047-1442,2019-08-23 00:00:00,293.58666666666664,0.0,39.53285549593496,-76.44794715447155,293.58666666666664,0.0,84,0.0
650,1,20,3,,39.0,1,3,156500333,TACOS TOLTECA,2823,BELAIR ROAD,FALLSTON,21047,2015-08-21 00:00:00,416.6866666666666,93.41666666666667,39.48477335790216,-76.40085208865857,416.6866666666666,93.41666666666667,85,67.0
650,3,18,2,,17.0,1,2,226500014,RAVAGE DELI,9636,BELAIR ROAD,NOTTINGHAM,21236,2022-07-11 00:00:00,240.0,0.0,39.412228612244895,-76.46468681632652,240.0,0.0,86,10.0
650,1,13,6,,12.0,1,6,65023694,CHOPSTIX CAFE,5002,HONEYGO CENTER DRIVE,PERRY HALL ,21128,2004-09-21 00:00:00,245.0,0.0,39.4050555,-76.4434178,245.0,0.0,87,86.0
650,3,18,4,,17.0,1,4,196500015,EL SALTO - PERRY HALL,4335,EBENEZER ROAD,PERRY HALL ,21236-2143,2019-05-16 00:00:00,562.9,37.766666666666666,39.39763122857144,-76.47651831428571,562.9,37.766666666666666,88,17.0
650,1,13,2,,12.0,2,2,166500243,EDORRITO ASIAN BISTRO,5203,CAMPBELL BOULEVARD,NOTTINGHAM,21236,2016-10-25 00:00:00,246.0,0.0,39.36984250507985,-76.45448497010557,246.0,0.0,89,0.0
650,3,15,7,,14.0,1,7,166500236,LEDO PIZZA OF WHITE MARSH,5350,CAMPBELL BOULEVARD,NOTTINGHAM,21236-4914,2016-09-26 00:00:00,545.5166666666667,295.51666666666665,39.3677221,-76.4496147,545.5166666666667,295.51666666666665,90,45.0
650,3,18,3,,17.0,1,3,650721,FRIENDLY'S PERRY HALL,9551,BELAIR ROAD,NOTTINGHAM,21236-1509,2010-12-03 00:00:00,179.72333333333333,88.22,39.41006334693878,-76.46689202040815,179.72333333333333,88.22,91,4.0
650,3,18,5,,17.0,1,5,650890,YAMA SUSHI PERRY HALL,4347,EBENEZER ROAD,NOTTINGHAM,21236-2143,2012-05-04 00:00:00,190.0,0.0,39.39758905714286,-76.47637482857142,190.0,0.0,92,1.0
650,3,18,1,,17.0,1,1,166500206,TASTE OF TAJ,9810,BELAIR ROAD,PERRY HALL ,21128,2016-04-29 00:00:00,179.0,0.0,39.4191206,-76.45756043173098,179.0,0.0,93,0.0
650,1,16,1,,15.0,1,1,226500017,PLAZA AZTECA,928,BEAR CORBITT ROAD,NEWARK,19702,2022-07-11 00:00:00,1060.6366666666665,0.0,39.631134,-75.660544,1060.6366666666665,0.0,94,0.0
650,1,19,2,,18.0,1,2,166500225,HIBACHI GRILL & SUPREME SUSHI BUFFET,4403,KIRKWOOD HIGHWAY,WILMINGTON,19808,2016-07-29 00:00:00,729.1733333333333,0.0,39.72686892857143,-75.65189109183673,729.1733333333333,0.0,95,124.0
650,1,19,3,,18.0,1,3,216500002,KUNGFU HOTPOT ,230 ,EAST MAIN STREET,NEWARK,19711,2021-01-04 00:00:00,336.4433333333333,0.0,39.68375608623192,-75.74510077443578,336.4433333333333,0.0,96,94.0
650,1,19,4,,18.0,1,4,216500004,FREDDY'S WINGS AND WRAPS ,174,EAST MAIN STREET,NEWARK,19711-7309,2021-01-11 00:00:00,220.0,0.0,39.683651074852165,-75.74628158476214,220.0,0.0,97,2.0
650,1,19,1,,18.0,1,1,236500023,MISSION BBQ - WILMINGTON,3662,CONCORD PIKE,WILMINGTON,19803,2023-07-17 00:00:00,550.0433333333333,80.16,39.80402653837631,-75.54830194557644,550.0433333333333,80.16,98,0.0
650,1,16,4,,15.0,1,4,65094609,LEE'S HUNAN,971,BEARDS HILL ROAD,ABERDEEN,21001,1990-05-03 00:00:00,244.20666666666665,0.0,39.5246324,-76.1801638,244.20666666666665,0.0,99,82.0
650,1,16,5,,15.0,1,5,650820,LA TOLTECA ABERDEEN,984,HOSPITALITY WAY,ABERDEEN,21001-1779,2011-08-25 00:00:00,666.69,0.0,39.52385341625908,-76.18447638307886,666.69,0.0,100,0.0
650,2,17,1,,16.0,1,1,6501052,LEE'S ASIAN BISTRO,1408,HANDLIR DRIVE,BEL AIR,21015-6600,2013-09-12 00:00:00,222.71666666666667,12.716666666666667,39.48095684052067,-76.25439227647641,222.71666666666667,12.716666666666667,101,0.0
650,2,17,6,,16.0,1,6,216500019,VENETIAN ITALIAN EATERY,1901,TREE TOP DRIVE,EDGEWOOD,21040-1632,2021-06-04 00:00:00,541.4933333333333,20.833333333333332,39.434716,-76.313933,541.4933333333333,20.833333333333332,102,21.0
650,2,17,7,,16.0,1,7,156500405,LA TOLTECA JOPPA,1411,MOUNTAIN ROAD,EDGEWOOD,21085,2015-12-03 00:00:00,519.23,0.0,39.43920765,-76.34498208632701,519.23,0.0,103,0.0
650,2,17,5,,16.0,1,5,176500019,ISLAND SPICE CUISINE,2120,EMMORTON PARK ROAD,EDGEWOOD,21040-1066,2017-05-24 00:00:00,612.0166666666667,325.25,39.45267831104635,-76.30969916743928,612.0166666666667,325.25,104,17.0
650,3,12,3,,11.0,1,3,650596,CHOPSTIX GOURMET FOREST HILL,1523,ROCK SPRING ROAD,FOREST HILL,21050-2855,2009-11-25 00:00:00,269.32,0.0,39.56143385,-76.37054512046561,269.32,0.0,105,23.0
650,1,4,1,,3.0,1,1,650827,LA TOLTECA BEL AIR,2350,EAST CHURCHVILLE ROAD,BEL AIR,21015-1721,2011-09-07 00:00:00,287.42333333333335,0.0,39.555704,-76.274603,287.42333333333335,0.0,106,0.0
650,3,12,2,,11.0,1,2,650740,ENOTRIA,2,NEWPORT DRIVE,FOREST HILL,21050-1642,2011-01-19 00:00:00,397.35,27.35,39.578479,-76.385217,397.35,27.35,107,184.0
650,3,12,4,,11.0,1,4,176500029,ECHO FREZCO FOREST HILL,1517,ROCK SPRING ROAD,FOREST HILL,21050,2017-09-19 00:00:00,368.6633333333333,9.216666666666667,39.5608485,-76.3695493,368.6633333333333,9.216666666666667,108,2.0
650,3,12,5,,11.0,1,5,176500006,KIYOMI SUSHI,1443,ROCK SPRING ROAD,BEL AIR,21014,2017-03-03 00:00:00,195.0,0.0,39.55745177777778,-76.36963822222222,195.0,0.0,109,4.0
650,3,12,2,,11.0,2,2,216500043,LEDO PIZZA OF BELAIR,331,BALTIMORE PIKE,BEL AIR,21014,2021-12-21 00:00:00,0.0,0.0,39.52984815,-76.34988680000001,0.0,0.0,110,8.0
650,3,12,3,,11.0,2,3,156500439,RAINBOW KING,554,BALTIMORE PIKE,BEL AIR,21014,2015-12-21 00:00:00,239.26,0.0,39.525434,-76.355616,239.26,0.0,111,0.0
650,1,4,5,,3.0,1,5,650657,FRIENDLY'S HARFORD MALL,696,BELAIR ROAD,BEL AIR,21014,2010-06-07 00:00:00,115.31333333333332,43.99,39.5081972,-76.3809161,115.31333333333332,43.99,112,1.0
650,1,20,1,,39.0,1,1,6501086,INDIA GARDEN,5,BEL AIR SOUTH PARKWAY,BEL AIR,21015,2014-03-31 00:00:00,149.0,0.0,39.49734305,-76.32561231932084,149.0,0.0,113,0.0
