BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG
650,01,15,03,650,01,15,03,6505398,ON THE HILL CAFE,1431,JOHN STREET,BALTIMORE,21217,06/21/2005,155.28,0.00
650,01,15,04,650,01,15,04,196500012,THE TILTED ROW,305,MC MECHEN STREET,BALTIMORE,21217,04/09/2019,571.15,0.00
650,01,15,05,650,01,15,05,226500021,BALTIMORE UNITY HALL,1505,EUTAW PLACE,BALTIMORE,21217,08/11/2022,0.00,0.00
650,01,15,06,650,01,15,06,236500006,TUERK HOUSE,730,ASHBURTON STREET,BALTIMORE,21216-4703,01/10/2023,266.54,0.00
650,01,15,07,650,01,15,07,206500007,FAYETTE HOUSE ,15,SOUTH FULTON AVENUE,BALTIMORE,21217,05/04/2020,239.00,0.00
650,01,15,08,650,01,15,08,246500007,FLOCK,1415,WASHINGTON BOULEVARD,BALTIMORE,21230-1830,01/25/2024,205.53,42.20
650,01,16,01,650,01,16,01,65094609,LEE'S HUNAN,971,BEARDS HILL ROAD,ABERDEEN,21001,05/03/1990,242.19,0.00
650,01,16,02,650,01,16,02,650820,LA TOLTECA ABERDEEN,984,HOSPITALITY WAY,ABERDEEN,21001-1779,08/25/2011,671.73,0.00
650,01,16,03,650,01,16,03,650827,LA TOLTECA BEL AIR,2350,EAST CHURCHVILLE ROAD,BEL AIR,21015-1721,09/07/2011,308.44,0.00
650,01,16,04,650,01,16,04,6501052,LEE'S ASIAN BISTRO,1408,HANDLIR DRIVE,BEL AIR,21015-6600,09/12/2013,222.72,12.72
650,01,16,05,650,01,16,05,236500001,HUO GUO BEL AIR,5,BEL AIR SOUTH PARKWAY,BEL AIR,21015,12/30/2022,517.77,0.00
650,01,16,06,650,01,16,06,236500011,LATITUDE SEAFOOD,5,BEL AIR SOUTH PARKWAY,BEL AIR,21015-6094,03/06/2023,1593.30,604.30
650,01,16,07,650,01,16,07,6501086,INDIA GARDEN,5,BEL AIR SOUTH PARKWAY,BEL AIR,21015,03/31/2014,165.00,0.00
650,01,18,01,650,01,18,01,650814,SIZZLING BOMBAY,2108,OLD EMMORTON ROAD,BEL AIR,21015-6800,08/02/2011,240.00,0.00
650,01,18,02,650,01,18,02,650996,LEMON N' GINGER,3491,MERCHANT BOULEVARD,ABINGDON,21009,03/29/2013,335.09,0.00
650,01,18,03,650,01,18,03,176500019,ISLAND SPICE CUISINE,2120,EMMORTON PARK ROAD,EDGEWOOD,21040-1066,05/24/2017,703.77,402.78
650,01,18,04,650,01,18,04,216500019,VENETIAN ITALIAN EATERY,1901,TREE TOP DRIVE,EDGEWOOD,21040-1632,06/04/2021,493.65,20.83
650,01,18,05,650,01,18,05,156500405,LA TOLTECA JOPPA,1411,MOUNTAIN ROAD,EDGEWOOD,21085,12/03/2015,538.90,0.00
650,01,18,06,650,01,18,06,65094414,DELLIS' BAR & GRILL,8776,PHILADELPHIA ROAD,ROSEDALE,21237,04/25/2001,1077.53,359.18
650,01,19,01,650,01,19,01,6501056,BOMBAY NIGHTS,5007,HONEYGO CENTER DRIVE,PERRY HALL ,21128,05/01/2013,275.00,0.00
650,01,19,02,650,01,19,02,65023694,CHOPSTIX CAFE,5002,HONEYGO CENTER DRIVE,PERRY HALL ,21128,09/21/2004,245.00,0.00
